****************************************
*   generated energetic Caster

****************************************
0        *name 0
121        *cost
7        *minDmg
16        *maxDmg
4904        *firerate
138        *magSize
1        *recoil
300        *minSpeed
300        *maxSpeed
8        *size
2        *howManyProjItShoot
1        *howManyProjItTakes
1        *reloadingTime
1        *wpnType
0        *fireBlts 0
0        *elecBlts 0
0        *explBlts 0
0        *toxicBlts 0
0        *extendedMag 0
0        *flexibleBlts 0
0        *multipler 0
0        *packedBullets 0
0        *scope 0
0        *smartBlts 0
1        *stabilizator
0        *radiusSize 0
0        *stunEnemies 0
0        *charger 0
0        *shootArround 0
0        *grenadeLauncher 0
0        *thrower 0
0        *magicPlasmaBlts 0
0        *preciseMultiShoot 0
****************************************
*   generated energetic Sniper

****************************************
0        *name 0
832        *cost
42        *minDmg
92        *maxDmg
141        *firerate
16        *magSize
1        *recoil
300        *minSpeed
300        *maxSpeed
8        *size
1        *howManyProjItShoot
1        *howManyProjItTakes
3        *reloadingTime
1        *wpnType
0        *fireBlts 0
0        *elecBlts 0
0        *explBlts 0
0        *toxicBlts 0
0        *extendedMag 0
0        *flexibleBlts 0
0        *multipler 0
1        *packedBullets
0        *scope 0
0        *smartBlts 0
0        *stabilizator 0
0        *radiusSize 0
0        *stunEnemies 0
0        *charger 0
0        *shootArround 0
0        *grenadeLauncher 0
0        *thrower 0
0        *magicPlasmaBlts 0
0        *preciseMultiShoot 0
****************************************
*   generated lead Caster

****************************************
0        *name 0
32        *cost
13        *minDmg
39        *maxDmg
2436        *firerate
59        *magSize
8        *recoil
207        *minSpeed
291        *maxSpeed
10        *size
3        *howManyProjItShoot
1        *howManyProjItTakes
1        *reloadingTime
0        *wpnType
0        *fireBlts 0
0        *elecBlts 0
0        *explBlts 0
0        *toxicBlts 0
0        *extendedMag 0
0        *flexibleBlts 0
0        *multipler 0
1        *packedBullets
0        *scope 0
0        *smartBlts 0
0        *stabilizator 0
0        *radiusSize 0
0        *stunEnemies 0
0        *charger 0
0        *shootArround 0
0        *grenadeLauncher 0
0        *thrower 0
0        *magicPlasmaBlts 0
0        *preciseMultiShoot 0
****************************************
*   generated plasma MachineGun

****************************************
0        *name 0
1000        *cost
99        *minDmg
224        *maxDmg
600        *firerate
60        *magSize
45        *recoil
181        *minSpeed
297        *maxSpeed
16        *size
1        *howManyProjItShoot
2        *howManyProjItTakes
3        *reloadingTime
2        *wpnType
0        *fireBlts 0
0        *elecBlts 0
0        *explBlts 0
0        *toxicBlts 0
0        *extendedMag 0
0        *flexibleBlts 0
0        *multipler 0
1        *packedBullets
0        *scope 0
1        *smartBlts
0        *stabilizator 0
0        *radiusSize 0
0        *stunEnemies 0
0        *charger 0
0        *shootArround 0
0        *grenadeLauncher 0
0        *thrower 0
0        *magicPlasmaBlts 0
0        *preciseMultiShoot 0
****************************************
*   generated energetic Shotgun

****************************************
0        *name 0
280        *cost
28        *minDmg
46        *maxDmg
314        *firerate
54        *magSize
1        *recoil
300        *minSpeed
300        *maxSpeed
5        *size
4        *howManyProjItShoot
1        *howManyProjItTakes
2        *reloadingTime
1        *wpnType
0        *fireBlts 0
0        *elecBlts 0
0        *explBlts 0
0        *toxicBlts 0
0        *extendedMag 0
